step,price,type,desc
76169,10626.92,exit_loss,Swing LOSS
76839,10302.03,entry_long,sfp_long
76858,10171.99,exit_loss,Swing LOSS
79106,10629.05,entry_long,sfp_long
79108,10564.27,exit_loss,Swing LOSS
82382,11467.08,entry_short,sfp_short
82670,11466.12,entry_long,grind_long
82671,11459.0,exit_win,Scalp WIN
82848,11341.97,exit_win,Swing WIN
82881,11326.07,entry_long,sfp_long
83286,11274.65,exit_loss,Swing LOSS
83345,11265.0,entry_long,sfp_long
84144,11424.89,exit_win,Swing WIN
88388,13606.89,entry_long,sfp_long
88415,13540.54,exit_loss,Swing LOSS
89785,15231.07,entry_long,sfp_long
89791,15100.01,exit_loss,Swing LOSS
90734,15444.15,entry_long,grind_long
90735,15438.23,exit_loss,Scalp LOSS
91772,15960.0,entry_long,sfp_long
91787,15852.16,exit_loss,Swing LOSS
93650,18564.37,entry_short,sfp_short
93674,18717.0,exit_loss,Swing LOSS
94726,18971.36,entry_short,sfp_short
94737,19098.99,exit_loss,Swing LOSS
94954,19059.15,entry_short,sfp_short
94971,19126.87,exit_loss,Swing LOSS
95090,18015.15,entry_long,sfp_long
95094,17900.18,exit_loss,Swing LOSS
96157,18285.04,entry_long,grind_long
96158,18288.23,exit_win,Scalp WIN
97368,19370.8,entry_short,sfp_short
98620,18859.8,exit_win,Swing WIN
98656,18882.5,entry_long,sfp_long
98742,18773.0,exit_loss,Swing LOSS
99485,17797.68,entry_long,sfp_long
100262,19317.63,entry_long,grind_long
100264,19258.79,exit_loss,Scalp LOSS
101990,23305.18,exit_win,Swing WIN
101991,23329.36,entry_short,sfp_short
102012,23478.32,exit_loss,Swing LOSS
102506,23181.88,entry_long,sfp_long
102506,23181.88,entry_long,grind_long
102507,23235.17,exit_win,Scalp WIN
102524,22901.51,exit_loss,Swing LOSS
103359,23502.34,entry_long,grind_long
103360,23527.11,exit_loss,Scalp LOSS
