pnl,reason
-200.0,swing_exit
-134.93262,swing_exit
-267.16797,swing_exit
-130.91211,swing_exit
-129.60254,swing_exit
-64.15332,scalp_exit
-127.66504,swing_exit
10.268555,scalp_exit
-126.49121,swing_exit
-125.22656,swing_exit
-128.58984,swing_exit
-127.24707,swing_exit
-251.94824,swing_exit
-246.90918,swing_exit
-121.08594,swing_exit
-119.92578,swing_exit
-118.72656,swing_exit
-234.93555,swing_exit
-230.2373,swing_exit
-113.30469,swing_exit
-112.1709,swing_exit
-14.883789,scalp_exit
-121.62988,swing_exit
-120.41406,swing_exit
-119.20996,swing_exit
-118.01758,swing_exit
