pnl,reason
572.77637,sfp_long
-105.72754,sfp_short
6.9091797,grind_long
-104.73926,sfp_long
-207.38477,sfp_long
845.2168,sfp_long
45.03125,grind_long
-68.05176,grind_long
401.15918,sfp_long
39.426758,grind_long
6.883789,grind_long
-114.31543,sfp_long
-113.171875,sfp_long
1.9921875,grind_short
-45.08789,grind_short
-111.609375,sfp_long
-14.000977,grind_short
-220.70605,sfp_long
-108.146484,sfp_long
-214.1289,sfp_long
1181.3701,sfp_long
-116.737305,sfp_short
-231.13965,sfp_long
-2.9072266,grind_long
-113.25781,sfp_long
-7.788086,grind_short
-112.018555,sfp_long
-110.89844,sfp_short
50.742188,grind_short
8.99707,grind_long
38.29883,grind_short
-110.76953,sfp_long
-9.683594,grind_long
-109.56543,sfp_long
197.47461,sfp_long
-56.716797,grind_long
-219.75488,sfp_long
-107.67969,sfp_long
480.23047,sfp_short
-111.40527,sfp_long
-31.964844,grind_short
5.7333984,grind_short
16.776367,grind_long
-220.05762,sfp_long
-107.99609,sfp_long
-11.8359375,grind_long
-31.797852,grind_long
1275.874,sfp_long
-1.8261719,grind_long
1508.2236,sfp_long
-134.30273,sfp_short
6.7148438,grind_short
-265.91895,sfp_long
-260.73438,sfp_long
-127.759766,grind_long
21.388672,grind_short
896.0635,sfp_long
70.987305,grind_long
-272.7334,sfp_long
-10.612305,grind_short
-19.246094,grind_long
-17.253906,grind_long
-133.16797,sfp_short
13.123047,grind_long
-36.67383,grind_long
-50.88379,grind_long
66.74121,grind_long
-2.2548828,grind_long
-27.983398,grind_long
59.79004,grind_short
-20.69043,grind_long
-22.10254,grind_long
11648.624,sfp_long
-248.11328,sfp_short
-55.978516,grind_long
-80.02539,grind_long
-245.63281,sfp_long
-241.8164,sfp_long
-209.6211,grind_long
-237.30078,sfp_long
801.5215,sfp_long
94.05664,grind_long
-487.76953,sfp_long
-239.00586,sfp_long
-236.61719,sfp_long
-234.25,sfp_long
-463.8164,sfp_long
-80.10156,grind_short
14.5390625,sfp_short
-226.61523,sfp_long
-448.6953,sfp_long
62.48633,grind_long
268.14062,sfp_short
614.6504,sfp_long
-22.6875,grind_long
-28.154297,grind_long
-228.80469,sfp_long
-226.51758,sfp_long
-224.25195,sfp_long
-222.00977,sfp_short
-36.003906,grind_long
-439.58008,sfp_long
-215.0332,sfp_long
-51.777344,grind_long
-425.76758,sfp_long
-208.10742,sfp_long
7.8476562,grind_short
2432.4395,sfp_long
-25.138672,grind_short
-230.17773,sfp_long
-227.87695,sfp_long
-451.1953,sfp_long
-15.042969,grind_short
63.158203,grind_short
1531.4062,sfp_long
-473.76172,sfp_long
-232.14453,sfp_long
-459.64453,sfp_long
-64.615234,grind_long
-67.34766,grind_long
1143.0137,sfp_short
-235.33594,sfp_long
88.19531,grind_long
-0.6191406,grind_long
1498.0527,sfp_long
-4.908203,grind_long
-248.78906,sfp_short
18.5625,grind_long
46.091797,grind_long
4440.713,sfp_long
-145.67773,grind_long
-582.71094,sfp_long
-426.10742,mixed_exit
-60.126953,grind_long
-202.91602,grind_long
-60.904297,grind_long
-114.21484,grind_short
35.71875,grind_short
-551.57227,sfp_long
-35.626953,grind_short
-43.195312,grind_short
-269.48242,sfp_long
-28.126953,grind_long
-266.50586,sfp_long
499.29883,sfp_long
-15.740234,grind_long
971.5547,sfp_long
-556.78516,sfp_long
-272.82422,sfp_long
35.658203,grind_long
-86.72656,grind_short
-269.58594,sfp_short
-533.7793,sfp_long
-261.55273,sfp_long
-517.87305,sfp_long
-507.51562,sfp_long
15.142578,grind_long
-4.484375,grind_short
195.55273,grind_long
-250.74414,sfp_long
-124.11914,grind_short
528.7129,sfp_long
-252.2832,sfp_short
673.25586,sfp_long
-256.4922,sfp_short
